"NRO_PROY","LIDER_PROY","COORD_CART_PROY","COD_LOC","COD_MOD","DET_COD_MOD","NOMB_IE","REGION","DEPARTAMENTO","PROVINCIA","DISTRITO","UBIGEO","UGEL","CUI","NOMB_PROY","COOR_WGS_ESTE","COOR_WGS_OESTE","FECHA_VIAB","COS_INV_PRE","PIM_2022","LATITUD","LONGITUD","CARTERA","NRO_PAQ","PAQUETE","BENEF_PRE","CAT_IE","CANT_AULA","SFL","FECHA_CORTE"
"20","CARLOS SOTO","FRANZ SALAZAR","307458","765271","","","LIMA","LIMA","LIMA","LA MOLINA","150114","UGEL 06 ","2471210","","288564.87","8665547.4","20191129","26,083,651","20,228,568","-12.06465695","-76.94240502","CARTERA III","Paquete 4","LIMA 04","1749","COSTA","29","PROPIEDAD","20220520"
"20","CARLOS SOTO","FRANZ SALAZAR","307458","778225","","","LIMA","LIMA","LIMA","LA MOLINA","150114","UGEL 06 ","2471210","","288564.87","8665547.4","20191129","26,083,651","20,228,568","-12.06465695","-76.94240502","CARTERA III","Paquete 4","LIMA 04","1749","COSTA","29","PROPIEDAD","20220520"
"21","ALBERTO BONILLA","GINO ZEVALLOS","296803","434464","Primaria","I.E 3058 VIRGEN DE FATIMA","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2433311","MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL PRIMARIA DE LA I.E 3058 VIRGEN DE FATIMA, DISTRITO DE CARABAYLLO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","279548","8684493","20191129","23,619,545","19,479,129","-11.89284192","-77.02392945","CARTERA II","Paquete 1","LIMA NORTE 01","1062","COSTA","20","AFECTADO EN USO","20220520"
"22","DENISSE HERRERA","GINO ZEVALLOS","296676","1694579","","I.E. 2051","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2471211","MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LOS NIVELES INICIAL Y PRIMARIA DE LA I.E. 2051 DISTRITO DE CARABAYLLO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","280901.31","8687088.51","20191129","17,993,342","14,979,023","-11.86947287","-77.01133811","CARTERA II","Paquete 1","LIMA NORTE 01","1270","COSTA","17","AFECTADO EN USO","20220520"
"22","DENISSE HERRERA","GINO ZEVALLOS","296676","436576","Primaria","I.E. 2051","LIMA","LIMA","LIMA","CARABAYLLO","150106","UGEL 04","2471211","MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LOS NIVELES INICIAL Y PRIMARIA DE LA I.E. 2051 DISTRITO DE CARABAYLLO - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","280901.31","8687088.51","20191129","17,993,342","14,979,023","-11.86947287","-77.01133811","CARTERA II","Paquete 1","LIMA NORTE 01","1270","COSTA","17","AFECTADO EN USO","20220520"
"23","WILLIAMS SANCHEZ","FRANZ SALAZAR","324844","665422","Primaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2471292","","283357.4","8678441.75","20191130","40,867,561","27,747,350","-11.94778142","-76.98936931","CARTERA III","Paquete 2","LIMA 02","2447","COSTA","41","AFECTADO EN USO","20220520"
"23","WILLIAMS SANCHEZ","FRANZ SALAZAR","324844","778738","	Secundaria","","LIMA","LIMA","LIMA","SAN JUAN DE LURIGANCHO","150132","UGEL 05","2471292","","283357.4","8678441.75","20191130","40,867,561","27,747,350","-11.94778142","-76.98936931","CARTERA III","Paquete 2","LIMA 02","2447","COSTA","41","AFECTADO EN USO","20220520"
"24","ORLANDO MALAVER","JULIO PRADO","346515","328963","Primaria","","LIMA","LIMA","LIMA","VILLA MARIA DEL TRIUNFO","150143","UGEL 01","2473874","","289628","8653445","20191219","19,891,628","16,074,113","-12.17410797","-76.93342988","CARTERA I","Paquete 5","LIMA 05","1438","COSTA","20","AFECTADO EN USO","20220520"
"25","JUAN PAZ","JULIO PRADO","344045","873679","Primaria","","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2473418","","290647","8646185","20191220","30,395,777","18,213,373","-12.23979014","-76.92454232","CARTERA I","Paquete 5","LIMA 05","1595","COSTA","30","AFECTADO EN USO","20220520"
"25","JUAN PAZ","JULIO PRADO","344045","1034016","	Secundaria","","LIMA","LIMA","LIMA","VILLA EL SALVADOR","150142","UGEL 01","2473418","","290647","8646185","20191220","30,395,777","18,213,373","-12.23979014","-76.92454232","CARTERA I","Paquete 5","LIMA 05","1595","COSTA","30","AFECTADO EN USO","20220520"
"26","PEDRO COTRINA","JULIO PRADO","346879","499699","	Secundaria","","LIMA","LIMA","LIMA","VILLA MARIA DEL TRIUNFO","150143","UGEL 01","2474099","","288976","8652928","20191223","57,711,468","27,895,218","-12.17873863","-76.93945363","CARTERA I","Paquete 5","LIMA 05","1721","COSTA","37","AFECTADO EN USO","20220520"
"26","PEDRO COTRINA","JULIO PRADO","346879","1359660","","","LIMA","LIMA","LIMA","VILLA MARIA DEL TRIUNFO","150143","UGEL 01","2474099","","288976","8652928","20191223","57,711,468","27,895,218","-12.17873863","-76.93945363","CARTERA I","Paquete 5","LIMA 05","1721","COSTA","37","AFECTADO EN USO","20220520"
"27","EDER REYES","JULIO PRADO","333103","436352","Primaria","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2475458","","275639","8670660","20200102","23,374,802","19,856,347","-12.01759856","-77.06074735","CARTERA I","Paquete 1","LIMA NORTE 01","1063","COSTA","28","AFECTADO EN USO","20220520"
"27","EDER REYES","JULIO PRADO","333103","566430","	Secundaria","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2475458","","275639","8670660","20200102","23,374,802","19,856,347","-12.01759856","-77.06074735","CARTERA I","Paquete 1","LIMA NORTE 01","1063","COSTA","28","AFECTADO EN USO","20220520"
"27","EDER REYES","JULIO PRADO","333103","678540","","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2475458","","275639","8670660","20200102","23,374,802","19,856,347","-12.01759856","-77.06074735","CARTERA I","Paquete 1","LIMA NORTE 01","1063","COSTA","28","AFECTADO EN USO","20220520"
"27","EDER REYES","JULIO PRADO","333103","697417","","","LIMA","LIMA","LIMA","SAN MARTIN DE PORRES","150135","UGEL 02","2475458","","275639","8670660","20200102","23,374,802","19,856,347","-12.01759856","-77.06074735","CARTERA I","Paquete 1","LIMA NORTE 01","1063","COSTA","28","AFECTADO EN USO","20220520"
"28","MIGUEL ROMERO","FRANZ SALAZAR","304860","1646454","","","LIMA","LIMA","LIMA","EL AGUSTINO","150111","UGEL 05","2475493","","283273","8668485","20200102","22,614,842","15,649,835","-12.03776405","-76.99080413","CARTERA III","Paquete 0","PILOTO","766","COSTA","26","PROPIEDAD","20220520"
"28","MIGUEL ROMERO","FRANZ SALAZAR","304860","335117","Primaria","","LIMA","LIMA","LIMA","EL AGUSTINO","150111","UGEL 05","2475493","","283273","8668485","20200102","22,614,842","15,649,835","-12.03776405","-76.99080413","CARTERA III","Paquete 0","PILOTO","766","COSTA","26","PROPIEDAD","20220520"
"28","MIGUEL ROMERO","FRANZ SALAZAR","304860","578260","	Secundaria","","LIMA","LIMA","LIMA","EL AGUSTINO","150111","UGEL 05","2475493","","283273","8668485","20200102","22,614,842","15,649,835","-12.03776405","-76.99080413","CARTERA III","Paquete 0","PILOTO","766","COSTA","26","PROPIEDAD","20220520"
"29","OMAR QUEZADA","GINO ZEVALLOS","301437","542597","Primaria","IE 2100 JUAN VELAZCO ALVARADO","LIMA","LIMA","LIMA","COMAS","150110","UGEL 04","2475546","MEJORAMIENTO DEL SERVICIO EDUCATIVO DE NIVEL PRIMARIA DE LA IE 2100 JUAN VELAZCO ALVARADO, DISTRITO DE COMAS - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA","276192.73","8677641.98","20200103","24,138,167","20,122,095","-11.95453607","-77.05518595","CARTERA II","Paquete 1","LIMA NORTE 01","1064","COSTA","28","PROPIEDAD","20220520"
"30","MIGUEL ROMERO","FRANZ SALAZAR","313591","1542703","","","LIMA","LIMA","LIMA","LURIGANCHO","150118","UGEL 06 ","2475706","","291494.58","8674756.42","20200106","35,556,430","30,898,936","-11.98160956","-76.91491205","CARTERA III","Paquete 3","LIMA 03","2148","COSTA","44","AFECTADO EN USO","20220520"
"30","MIGUEL ROMERO","FRANZ SALAZAR","313591","1041276","Primaria","","LIMA","LIMA","LIMA","LURIGANCHO","150118","UGEL 06 ","2475706","","291494.58","8674756.42","20200106","35,556,430","30,898,936","-11.98160956","-76.91491205","CARTERA III","Paquete 3","LIMA 03","2148","COSTA","44","AFECTADO EN USO","20220520"
"30","MIGUEL ROMERO","FRANZ SALAZAR","313591","1041557","	Secundaria","","LIMA","LIMA","LIMA","LURIGANCHO","150118","UGEL 06 ","2475706","","291494.58","8674756.42","20200106","35,556,430","30,898,936","-11.98160956","-76.91491205","CARTERA III","Paquete 3","LIMA 03","2148","COSTA","44","AFECTADO EN USO","20220520"
"31","ERIKA IZQUIERDO","JULIO PRADO","311083","1481233","","","LIMA","LIMA","LIMA","LOS OLIVOS","150117","UGEL 02","2475674","","274487","8676529","20200105","31,509,066","17,325,297","-11.96447957","-77.07091881","CARTERA I","Paquete 3","LIMA 03","1861","COSTA","38","AFECTADO EN USO","20220520"
